"PenjualanID","TanggalPenjualan","ProdukID","JumlahTerjual","HargaJual","TotalPenjualan","",""
"1.00","2023-07-14","1.00","29.00","162111.02","584950.45","",""
"2.00","2023-12-01","7.00","17.00","481298.86","606272.23","",""
"3.00","2023-08-25","5.00","37.00","421847.14","746526.65","",""
"4.00","2023-07-27","6.00","40.00","470022.32","817775.23","",""
"5.00","2023-07-24","6.00","9.00","243203.85","1074207.59","",""
"6.00","2023-06-09","9.00","31.00","169662.33","1865312.94","",""
"7.00","2023-01-02","6.00","40.00","158705.81","993876.73","",""
"8.00","2023-06-28","2.00","39.00","269908.33","927585.95","",""
"9.00","2023-12-03","9.00","15.00","250929.40","554368.43","",""
"10.00","2023-12-15","7.00","16.00","447991.09","1991200.23","",""
"11.00","2023-07-09","10.00","39.00","155512.79","579949.65","",""
"12.00","2023-12-26","9.00","44.00","246640.36","1148506.18","",""
"13.00","2023-12-02","1.00","47.00","375639.32","563243.17","",""
"14.00","2023-08-28","9.00","34.00","344733.65","1790390.68","",""
"15.00","2023-01-27","2.00","32.00","302610.27","904880.62","",""
"16.00","2023-08-30","4.00","25.00","175810.57","1120558.10","",""
"17.00","2023-10-03","10.00","6.00","354727.41","1043009.76","",""
"18.00","2023-08-25","8.00","22.00","156898.51","1705976.95","",""
"19.00","2023-11-26","6.00","14.00","315722.37","1742760.99","",""
"20.00","2023-06-17","4.00","21.00","389840.48","599343.33","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
