"PersediaanID","ProdukID","TanggalUpdate","JumlahStok",""
"1.00","5.00","2023-03-31","125.00",""
"2.00","3.00","2023-03-13","115.00",""
"3.00","8.00","2023-06-16","66.00",""
"4.00","2.00","2023-06-28","31.00",""
"5.00","3.00","2023-06-01","150.00",""
"6.00","5.00","2023-02-11","74.00",""
"7.00","4.00","2023-02-09","69.00",""
"8.00","2.00","2023-11-11","133.00",""
"9.00","3.00","2023-12-26","99.00",""
"10.00","4.00","2023-01-03","88.00",""
"11.00","7.00","2023-01-07","61.00",""
"12.00","1.00","2023-02-07","72.00",""
"13.00","5.00","2023-09-28","50.00",""
"14.00","10.00","2023-02-15","84.00",""
"15.00","8.00","2023-03-14","110.00",""
"16.00","8.00","2023-06-05","79.00",""
"17.00","2.00","2023-02-12","107.00",""
"18.00","7.00","2023-12-06","143.00",""
"19.00","5.00","2023-06-06","134.00",""
"20.00","7.00","2023-04-19","95.00",""
"","","","",""
